policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,encoding,condition,snn_steps,hidden_dim
rate,1007,0.04,0,0.0,-1,69,0,11.319895507733381,1.0891903494454862,1.5580163806648266,2.9420289855072466,rate,noise_0.04,25,96
rate,1008,0.04,0,0.0,-1,20,0,3.2526186442617826,0.6924988701536758,1.6378970589400996,2.4,rate,noise_0.04,25,96
rate,1009,0.04,0,0.0,-1,21,0,2.576935842375045,0.5103697466933198,1.6138348317214448,1.7142857142857142,rate,noise_0.04,25,96
rate,1010,0.04,0,0.0,-1,33,0,5.529188726325654,1.0323698671352712,1.5879788046293017,3.1818181818181817,rate,noise_0.04,25,96
rate,1011,0.04,0,0.0,-1,187,0,29.725069586409337,1.258050712685365,1.5583063189919817,3.3475935828877006,rate,noise_0.04,25,96
rate,1000,0.08,0,0.0,-1,26,0,3.998542669575706,0.5837923675432897,1.6599330856297783,1.8846153846153846,rate,noise_0.08,25,96
rate,1001,0.08,0,0.0,-1,16,0,2.6697004699553784,0.7750166149506776,1.5736542701642313,1.8125,rate,noise_0.08,25,96
rate,1002,0.08,0,0.0,-1,25,0,3.6140995776551668,0.486817415412457,1.6391152421720883,1.64,rate,noise_0.08,25,96
rate,1003,0.08,0,0.0,-1,19,0,3.311871019187365,0.8998799441179712,1.5740272165321838,1.736842105263158,rate,noise_0.08,25,96
rate,1004,0.08,0,0.0,-1,22,0,3.2677467775388123,0.5622084731470435,1.6516681500188257,2.0454545454545454,rate,noise_0.08,25,96
rate,1005,0.08,0,0.0,-1,25,0,3.4729239537426957,0.4855374984180855,1.6474209092708805,2.12,rate,noise_0.08,25,96
rate,1006,0.08,0,0.0,-1,27,0,3.670022588518476,0.4640862709158439,1.6375603167873773,1.5925925925925926,rate,noise_0.08,25,96
rate,1007,0.08,0,0.0,-1,59,0,9.672285523803913,1.136763867042975,1.576811935017834,2.593220338983051,rate,noise_0.08,25,96
rate,1008,0.08,0,0.0,-1,117,0,18.835694855436856,1.1524791050315726,1.556188840768335,2.700854700854701,rate,noise_0.08,25,96
rate,1009,0.08,0,0.0,-1,24,0,3.1801538597916332,0.4941609414799732,1.6394353074486478,1.8333333333333333,rate,noise_0.08,25,96
rate,1010,0.08,0,0.0,-1,22,0,3.8353667968749865,0.7985316301049501,1.5871281344300976,2.772727272727273,rate,noise_0.08,25,96
rate,1011,0.08,0,0.0,-1,26,0,3.669385869629284,0.48666556206859457,1.6573000159961508,2.0,rate,noise_0.08,25,96
rate,1000,0.12,0,0.0,-1,111,0,17.50223386882287,1.0144629386589468,1.5521567316334237,1.954954954954955,rate,noise_0.12,25,96
rate,1001,0.12,0,0.0,-1,30,0,4.505398445630238,0.43804711847419586,1.6299798886402541,1.8,rate,noise_0.12,25,96
rate,1002,0.12,0,0.0,-1,44,0,6.815635595089239,0.38695842873534547,1.563293618262156,1.8636363636363635,rate,noise_0.12,25,96
rate,1003,0.12,0,0.0,-1,20,0,2.734504286621645,0.5447079321471298,1.5536959806331259,1.75,rate,noise_0.12,25,96
rate,1004,0.12,0,0.0,-1,26,0,4.289466179109406,0.6821958534581856,1.556839434342531,2.0,rate,noise_0.12,25,96
rate,1005,0.12,0,0.0,-1,18,0,2.2428205816250295,0.601717770006677,1.645432415177144,1.5555555555555556,rate,noise_0.12,25,96
rate,1006,0.12,0,0.0,-1,19,0,2.3044326812600455,0.5592560636482973,1.5828683974359294,2.0526315789473686,rate,noise_0.12,25,96
rate,1007,0.12,0,0.0,-1,22,0,2.9897056000823685,0.5730628950752804,1.6688555638972962,1.6363636363636365,rate,noise_0.12,25,96
rate,1008,0.12,0,0.0,-1,28,0,4.219085117830744,0.5561756645771779,1.556802065415553,1.8214285714285714,rate,noise_0.12,25,96
rate,1009,0.12,0,0.0,-1,25,0,4.2569349464676085,0.7816616599985295,1.6036679586946936,1.84,rate,noise_0.12,25,96
rate,1010,0.12,0,0.0,-1,18,0,2.1566837927760325,0.6216394295752582,1.6264853580513652,1.7222222222222223,rate,noise_0.12,25,96
rate,1011,0.12,0,0.0,-1,61,0,9.932075471276516,1.0986054266694985,1.605514890183803,1.8688524590163935,rate,noise_0.12,25,96
rate,1000,0.0,2,0.0,-1,22,0,3.4758037580626278,0.5745475150076753,1.5514232548692375,1.9545454545454546,rate,delay_2,25,96
rate,1001,0.0,2,0.0,-1,20,0,2.615340348426685,0.5411218334544927,1.5926612767668202,2.15,rate,delay_2,25,96
rate,1002,0.0,2,0.0,-1,22,0,2.9139489758041646,0.4997133639699673,1.6312091545945002,1.9545454545454546,rate,delay_2,25,96
rate,1003,0.0,2,0.0,-1,26,0,3.5492470453094844,0.42287662336579734,1.5670815542954764,1.6538461538461537,rate,delay_2,25,96
rate,1004,0.0,2,0.0,-1,18,0,2.8662067315726283,0.8594616058266982,1.5858784383769404,2.7777777777777777,rate,delay_2,25,96
rate,1005,0.0,2,0.0,-1,17,0,2.748071600298077,0.7431656419445266,1.5973912926921223,2.2941176470588234,rate,delay_2,25,96
rate,1006,0.0,2,0.0,-1,16,0,2.7729942530324,0.9215079864942507,1.5813946941804726,2.875,rate,delay_2,25,96
rate,1007,0.0,2,0.0,-1,25,0,3.2498010813831577,0.44356819154629135,1.6074763456031707,1.8,rate,delay_2,25,96
rate,1008,0.0,2,0.0,-1,14,0,2.262432232044157,0.8538274693277249,1.6099534541749636,2.7857142857142856,rate,delay_2,25,96
