policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,hidden_dim,snn_steps,beta
SNN,1007,0.0,0,0.0,-1,251,1,40.07038441315107,1.3123209288011541,1.4783766969612302,8.48207171314741,96,25,0.92
SNN,1008,0.0,0,0.0,-1,241,0,38.1984535467908,1.3305040159477595,1.5608845388150043,8.518672199170124,96,25,0.92
SNN,1009,0.0,0,0.0,-1,251,1,40.099007079888764,1.3379899706063771,1.4893827477726462,8.51792828685259,96,25,0.92
SNN,1010,0.0,0,0.0,-1,16,0,2.7965912450007324,0.9232380731177591,1.5818298031743119,6.25,96,25,0.92
SNN,1011,0.0,0,0.0,-1,19,0,2.197555708489359,0.5834686420947154,1.672516647626602,5.052631578947368,96,25,0.92
SNN,1000,0.08,0,0.0,-1,18,0,2.1831705901348717,0.5754172826977032,1.6256257380527779,3.8333333333333335,96,25,0.92
SNN,1001,0.08,0,0.0,-1,15,0,2.5518978917793795,0.8616303584559902,1.588387032330914,4.666666666666667,96,25,0.92
SNN,1002,0.08,0,0.0,-1,20,0,2.9936913815027255,0.6252677155371684,1.6015100043029569,4.1,96,25,0.92
SNN,1003,0.08,0,0.0,-1,24,0,3.019015347326647,0.5065185307459327,1.7034857325496782,4.041666666666667,96,25,0.92
SNN,1004,0.08,0,0.0,-1,34,0,4.955159925672152,0.4217507601853114,1.641283911465552,3.3823529411764706,96,25,0.92
SNN,1005,0.08,0,0.0,-1,21,0,2.963538736090025,0.5920462889283475,1.6331768103567121,4.238095238095238,96,25,0.92
SNN,1006,0.08,0,0.0,-1,21,0,3.515862069669652,0.7096486162781453,1.6703491002349353,3.9523809523809526,96,25,0.92
SNN,1007,0.08,0,0.0,-1,20,0,3.4307649877070596,0.822849042751501,1.6142888129961712,4.65,96,25,0.92
SNN,1008,0.08,0,0.0,-1,30,0,4.333271804438409,0.4368952884985935,1.5758037674196785,3.433333333333333,96,25,0.92
SNN,1009,0.08,0,0.0,-1,17,0,2.127156153346517,0.6337607949051549,1.5561910945460533,4.411764705882353,96,25,0.92
SNN,1010,0.08,0,0.0,-1,17,0,3.0107329527089153,0.8171448185189623,1.5768319286242134,4.411764705882353,96,25,0.92
SNN,1011,0.08,0,0.0,-1,43,0,7.0132569421868185,1.1219937397529594,1.559527705427811,6.162790697674419,96,25,0.92
SNN,1000,0.12,0,0.0,-1,29,0,4.943843427289462,1.0168480699334932,1.567635281282638,4.551724137931035,96,25,0.92
SNN,1001,0.12,0,0.0,-1,17,0,2.077838148260891,0.6472951721836422,1.6211467412544907,4.0588235294117645,96,25,0.92
SNN,1002,0.12,0,0.0,-1,23,0,3.29306053227537,0.5214960938036529,1.626689417985618,3.3043478260869565,96,25,0.92
SNN,1003,0.12,0,0.0,-1,50,0,7.477899466435761,0.37567009118917966,1.5539644213105674,3.12,96,25,0.92
SNN,1004,0.12,0,0.0,-1,17,0,2.7631205658647824,0.8198102915601251,1.575762350625347,3.9411764705882355,96,25,0.92
SNN,1005,0.12,0,0.0,-1,30,0,4.560791272426234,0.5480881056104452,1.6387796446931533,3.8333333333333335,96,25,0.92
SNN,1006,0.12,0,0.0,-1,21,0,3.4994505551289317,0.6539539135911099,1.6189625790556166,3.5714285714285716,96,25,0.92
SNN,1007,0.12,0,0.0,-1,26,0,3.697172477708226,0.5386725750512782,1.6670098398406967,3.730769230769231,96,25,0.92
SNN,1008,0.12,0,0.0,-1,27,0,3.704112899551092,0.5155850231473735,1.6609932815114739,3.111111111111111,96,25,0.92
SNN,1009,0.12,0,0.0,-1,37,0,5.509969368991149,0.4153213851300642,1.6275655334893697,2.945945945945946,96,25,0.92
SNN,1010,0.12,0,0.0,-1,24,0,4.1417461547385885,0.7438895249001586,1.6330365698653058,4.0,96,25,0.92
SNN,1011,0.12,0,0.0,-1,24,0,4.118352831853684,0.9181583385039239,1.5776150818425834,4.541666666666667,96,25,0.92
SNN,1000,0.0,0,0.0,-1,248,0,39.49652997853247,1.3583420818248013,1.5579258588588245,11.14516129032258,96,40,0.92
SNN,1001,0.0,0,0.0,-1,17,0,2.9233294736270574,0.9249907231298075,1.566466997272919,9.294117647058824,96,40,0.92
SNN,1002,0.0,0,0.0,-1,173,0,27.43776849014621,1.3600946661013138,1.5568896686073082,11.080924855491329,96,40,0.92
SNN,1003,0.0,0,0.0,-1,33,0,5.572453037512521,1.1148205528022725,1.5550953277051796,10.393939393939394,96,40,0.92
SNN,1004,0.0,0,0.0,-1,18,0,2.9181077632215184,0.9100603798867818,1.5568543560958117,9.222222222222221,96,40,0.92
SNN,1005,0.0,0,0.0,-1,72,0,11.61907839298042,1.280196239606634,1.5622668179374428,10.805555555555555,96,40,0.92
SNN,1006,0.0,0,0.0,-1,61,0,9.90207978827661,1.2735141704966289,1.5689453563291846,10.704918032786885,96,40,0.92
SNN,1007,0.0,0,0.0,-1,251,1,40.079039715313066,1.3731341179056125,1.5302069966550866,11.147410358565738,96,40,0.92
SNN,1008,0.0,0,0.0,-1,90,0,14.534721623023572,1.3264996740768644,1.5530416887777445,10.955555555555556,96,40,0.92
SNN,1009,0.0,0,0.0,-1,25,0,4.264179860907722,0.873247973225813,1.5796715945798978,9.44,96,40,0.92
SNN,1010,0.0,0,0.0,-1,252,1,40.098419847437235,1.3764084500839522,1.5405028853636893,11.170634920634921,96,40,0.92
SNN,1011,0.0,0,0.0,-1,97,0,15.657088914499505,1.322046763279115,1.5576438196811697,10.958762886597938,96,40,0.92
SNN,1000,0.08,0,0.0,-1,25,0,4.021858270357622,0.5967702439387412,1.6268541711828575,8.2,96,40,0.92
SNN,1001,0.08,0,0.0,-1,48,0,7.64826971221899,0.48791396529852404,1.5522638929263568,8.041666666666666,96,40,0.92
SNN,1002,0.08,0,0.0,-1,22,0,3.535852927145964,0.7510283982076047,1.6549246687719945,7.2272727272727275,96,40,0.92
SNN,1003,0.08,0,0.0,-1,22,0,3.628899535378149,0.6006441888573912,1.5685103480252123,8.272727272727273,96,40,0.92
SNN,1004,0.08,0,0.0,-1,16,0,2.551869052494675,0.8532852596345575,1.5510853295056644,7.875,96,40,0.92
SNN,1005,0.08,0,0.0,-1,19,0,3.217573750845033,0.8279518475959812,1.571952572678689,7.315789473684211,96,40,0.92
SNN,1006,0.08,0,0.0,-1,22,0,2.9292802767038997,0.5464750134456237,1.601192593480149,6.545454545454546,96,40,0.92
SNN,1007,0.08,0,0.0,-1,31,0,4.438717004993653,0.41605947030158,1.555910117597001,7.129032258064516,96,40,0.92
SNN,1008,0.08,0,0.0,-1,16,0,2.530556712871571,0.7968074627377304,1.6807577782492258,7.9375,96,40,0.92
SNN,1009,0.08,0,0.0,-1,28,0,3.9124742322538255,0.4517555197771671,1.6332405691147627,7.035714285714286,96,40,0.92
SNN,1010,0.08,0,0.0,-1,42,0,7.0427058793748305,1.0472785563340383,1.5554795463838187,7.571428571428571,96,40,0.92
SNN,1011,0.08,0,0.0,-1,20,0,2.4147775924856654,0.5603466209670345,1.673133429185383,7.05,96,40,0.92
SNN,1000,0.12,0,0.0,-1,26,0,4.289667203976456,0.6733900790758681,1.6178249781386291,7.346153846153846,96,40,0.92
SNN,1001,0.12,0,0.0,-1,31,0,4.610453985451389,0.39528832966390537,1.5926210030363634,7.096774193548387,96,40,0.92
SNN,1002,0.12,0,0.0,-1,45,0,7.087825850269123,0.5191396932936257,1.6850744705067555,7.533333333333333,96,40,0.92
SNN,1003,0.12,0,0.0,-1,36,0,5.382650010337908,0.38923359689939274,1.5670689064929906,7.083333333333333,96,40,0.92
SNN,1004,0.12,0,0.0,-1,27,0,4.184857550788853,0.48276975467587036,1.621884894837311,5.777777777777778,96,40,0.92
