policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,condition
SNN,1001,0.04,0,0.0,-1,19,0,3.1617713965658436,0.7172483737154868,1.5573694131873306,2.210526315789474,noise_0.04
SNN,1002,0.04,0,0.0,-1,26,0,4.057493336589988,0.5453572184747292,1.5890809716503174,2.1923076923076925,noise_0.04
SNN,1003,0.04,0,0.0,-1,22,0,3.7746806490623888,0.7527178146887862,1.5690335700981877,2.1363636363636362,noise_0.04
SNN,1004,0.04,0,0.0,-1,15,0,2.321882842477229,0.7798436680896513,1.5568701315544378,2.6,noise_0.04
SNN,1005,0.04,0,0.0,-1,20,0,3.402701458006968,0.9427965867536587,1.619011940536812,2.75,noise_0.04
SNN,1006,0.04,0,0.0,-1,21,0,2.6770545964264034,0.5880098214540577,1.6647468009426398,2.238095238095238,noise_0.04
SNN,1007,0.04,0,0.0,-1,23,0,3.212842252347272,0.5434123539481894,1.6010932606444168,2.4347826086956523,noise_0.04
SNN,1008,0.04,0,0.0,-1,16,0,1.7205182539732562,0.5858491586113406,1.5609892042822033,2.75,noise_0.04
SNN,1009,0.04,0,0.0,-1,26,0,4.448166402747148,0.6900499642399853,1.5504167796029151,2.076923076923077,noise_0.04
SNN,1010,0.04,0,0.0,-1,14,0,2.3711524709233256,0.8340832794919039,1.6157507976840895,2.642857142857143,noise_0.04
SNN,1011,0.04,0,0.0,-1,16,0,2.5867618309178533,0.8303702615452611,1.650587937750865,2.6875,noise_0.04
ANN,1000,0.08,0,0.0,-1,24,0,3.681743839338694,0.610781892022528,1.6750536578174327,2.042359864960114,noise_0.08
ANN,1001,0.08,0,0.0,-1,234,0,36.86265845581308,0.3270313985143289,1.5508073050391793,3.007410214879574,noise_0.08
ANN,1002,0.08,0,0.0,-1,31,0,4.961435437066186,0.5808085501154729,1.63458568336243,2.010889716686741,noise_0.08
ANN,1003,0.08,0,0.0,-1,26,0,4.423535708043491,0.7105948193643348,1.6227764605892634,1.5631541483677351,noise_0.08
ANN,1004,0.08,0,0.0,-1,34,0,5.431155104761915,0.5798316890467451,1.5905716249661213,2.2825141365037247,noise_0.08
ANN,1005,0.08,0,0.0,-1,34,0,5.552313181435061,0.6399928883036246,1.6878933874381108,1.7102755036424189,noise_0.08
ANN,1006,0.08,0,0.0,-1,39,0,6.38809798143409,0.4143233045292392,1.5595249504330257,2.8153404608750954,noise_0.08
ANN,1007,0.08,0,0.0,-1,34,0,5.749346090052984,0.6893370682114429,1.64240101595947,1.7801341966671103,noise_0.08
ANN,1008,0.08,0,0.0,-1,16,0,2.7050198503790384,0.7923559669483755,1.5523531877617394,1.8310261256992817,noise_0.08
ANN,1009,0.08,0,0.0,-1,44,0,7.098163001499214,0.48759263250564666,1.5822766299810214,2.2777648412368516,noise_0.08
ANN,1010,0.08,0,0.0,-1,25,0,4.239797948834281,0.6341034284598291,1.5787427200513071,1.5377923154830933,noise_0.08
ANN,1011,0.08,0,0.0,-1,15,0,2.345240788307913,0.8161591956314412,1.6430885222112304,1.6763110737005869,noise_0.08
SNN,1000,0.08,0,0.0,-1,18,0,3.021089115247303,0.8891729914765956,1.625593753390278,2.2222222222222223,noise_0.08
SNN,1001,0.08,0,0.0,-1,21,0,2.953154292601236,0.6108752132424217,1.5893798214556396,2.5238095238095237,noise_0.08
SNN,1002,0.08,0,0.0,-1,26,0,3.927057596809809,0.523986904492178,1.6019330200190165,2.1153846153846154,noise_0.08
SNN,1003,0.08,0,0.0,-1,14,0,2.3353733098091545,0.8391478810359081,1.5926563724397416,2.5,noise_0.08
SNN,1004,0.08,0,0.0,-1,37,0,5.522676004828827,0.3874231472226431,1.6173219386876747,1.6486486486486487,noise_0.08
SNN,1005,0.08,0,0.0,-1,24,0,3.3914722806001283,0.5337328493207182,1.5695312782317445,1.9166666666666667,noise_0.08
SNN,1006,0.08,0,0.0,-1,19,0,2.278769353459439,0.6030086521967345,1.6624073975545466,1.9473684210526316,noise_0.08
SNN,1007,0.08,0,0.0,-1,23,0,3.153994650391692,0.49367066329302256,1.5934502844275718,2.130434782608696,noise_0.08
SNN,1008,0.08,0,0.0,-1,36,0,5.9865033245691315,0.6502617881169219,1.5792912656215417,2.138888888888889,noise_0.08
SNN,1009,0.08,0,0.0,-1,21,0,2.742548195631157,0.5647488913184012,1.627749875145895,2.1904761904761907,noise_0.08
SNN,1010,0.08,0,0.0,-1,19,0,2.362682960333853,0.6067335946403603,1.6262763594876934,1.9473684210526316,noise_0.08
SNN,1011,0.08,0,0.0,-1,33,0,5.171001221442599,0.48039725335612327,1.5944817456274611,2.303030303030303,noise_0.08
ANN,1000,0.12,0,0.0,-1,96,0,15.018456677110327,0.29004151809617185,1.6268680596540999,3.0276479305078587,noise_0.12
ANN,1001,0.12,0,0.0,-1,23,0,3.8017462970925684,0.7064722053663222,1.6326943297546324,2.749111885609834,noise_0.12
ANN,1002,0.12,0,0.0,-1,59,0,9.422947437412926,0.3928652082219424,1.5631358150996002,3.2518901627952768,noise_0.12
ANN,1003,0.12,0,0.0,-1,54,0,8.881596282059206,0.45252459633858294,1.5900669954198972,3.109320127853641,noise_0.12
ANN,1004,0.12,0,0.0,-1,43,0,6.494323777588251,0.3817834956736191,1.6667244757333846,3.2779793337334033,noise_0.12
ANN,1005,0.12,0,0.0,-1,48,0,8.007817478249198,0.7747091569657215,1.5981700010431945,1.9095114065955083,noise_0.12
ANN,1006,0.12,0,0.0,-1,66,0,10.484553742633658,0.3988025322811404,1.6003987861860531,3.541072078274958,noise_0.12
ANN,1007,0.12,0,0.0,-1,141,0,22.210685640069972,0.46419495118834975,1.63509654573497,2.552298769249138,noise_0.12
ANN,1008,0.12,0,0.0,-1,25,0,4.179388962137866,0.7120591061821554,1.622491281142493,2.1826444411277772,noise_0.12
ANN,1009,0.12,0,0.0,-1,43,0,6.946696967251221,0.45488202425358515,1.6190985378771652,3.438387625785761,noise_0.12
ANN,1010,0.12,0,0.0,-1,43,0,6.629331568901267,0.35808037255078734,1.6456685520039855,3.253333271935929,noise_0.12
ANN,1011,0.12,0,0.0,-1,28,0,4.627982670798828,0.5938090605582867,1.5815691069772095,2.7293510330574855,noise_0.12
SNN,1000,0.12,0,0.0,-1,23,0,3.4287758003738458,0.535872077153251,1.5913426003427258,2.130434782608696,noise_0.12
SNN,1001,0.12,0,0.0,-1,26,0,3.6956296323127424,0.5044754501397137,1.5994045145071791,1.8076923076923077,noise_0.12
SNN,1002,0.12,0,0.0,-1,42,0,6.6403054526193115,0.4155932779414227,1.6321516770942726,1.9047619047619047,noise_0.12
SNN,1003,0.12,0,0.0,-1,14,0,2.3308729262224333,0.846876292591239,1.5859968141157856,2.2142857142857144,noise_0.12
SNN,1004,0.12,0,0.0,-1,19,0,3.136100203226658,0.8250122814656798,1.5787245000594097,1.894736842105263,noise_0.12
SNN,1005,0.12,0,0.0,-1,37,0,5.4763031970759135,0.4624282969470846,1.555560904871524,1.945945945945946,noise_0.12
SNN,1006,0.12,0,0.0,-1,31,0,4.359735375585421,0.4331218875135854,1.6401402494278718,1.8064516129032258,noise_0.12
SNN,1007,0.12,0,0.0,-1,45,0,6.775143309893164,0.4119451284512294,1.5768422636072879,1.8222222222222222,noise_0.12
SNN,1008,0.12,0,0.0,-1,29,0,4.246511043795484,0.44036457065474904,1.6010185864328983,1.793103448275862,noise_0.12
SNN,1009,0.12,0,0.0,-1,19,0,2.3038667955327115,0.5953638622697737,1.61844084516271,2.0526315789473686,noise_0.12
SNN,1010,0.12,0,0.0,-1,24,0,3.445125735834275,0.6841912278283332,1.5990642111230622,2.125,noise_0.12
SNN,1011,0.12,0,0.0,-1,23,0,3.4623087691369845,0.6345226001707758,1.6443284251808696,1.826086956521739,noise_0.12
ANN,1000,0.0,2,0.0,-1,13,0,1.892551868403182,0.8017679566025268,1.5874493760033164,1.2892848620047936,delay_2
ANN,1001,0.0,2,0.0,-1,14,0,2.084192898457937,0.8488552100701529,1.7095513132461708,1.2961874902248383,delay_2
ANN,1002,0.0,2,0.0,-1,13,0,1.7710472909255066,0.8061143288093616,1.5958497889980607,1.269295376080733,delay_2
ANN,1003,0.0,2,0.0,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,1.248316975740286,delay_2
ANN,1004,0.0,2,0.0,-1,13,0,1.806870870698499,0.8013124748314717,1.5865911075697108,1.2873282661804786,delay_2
ANN,1005,0.0,2,0.0,-1,13,0,1.929922675256363,0.806248994119502,1.5968101989364476,1.2699715357560377,delay_2
ANN,1006,0.0,2,0.0,-1,13,0,2.044721184745943,0.8083617315845063,1.6035742340537764,1.2157084277042975,delay_2
ANN,1007,0.0,2,0.0,-1,13,0,1.9882231489484063,0.803419233959864,1.5920539567981518,1.2612227659959059,delay_2
ANN,1008,0.0,2,0.0,-1,13,0,1.9504749368070715,0.8073173529823003,1.5988511827965675,1.2619489523080678,delay_2
ANN,1009,0.0,2,0.0,-1,13,0,2.0441489169546845,0.7998908842291048,1.5858384724917443,1.2455340761404772,delay_2
ANN,1010,0.0,2,0.0,-1,13,0,2.07198878047287,0.8104187848334855,1.60819490227757,1.190030879699267,delay_2
ANN,1011,0.0,2,0.0,-1,13,0,1.9297276915512458,0.7993716133539229,1.5830171950464849,1.2909927872511058,delay_2
SNN,1000,0.0,2,0.0,-1,13,0,1.892551868403182,0.8017679566025268,1.5874493760033164,2.8461538461538463,delay_2
SNN,1001,0.0,2,0.0,-1,25,0,3.583343479837779,0.510153157892137,1.626954767967117,2.24,delay_2
SNN,1002,0.0,2,0.0,-1,23,0,3.354484507123144,0.6299238305637153,1.7063371769090627,2.130434782608696,delay_2
SNN,1003,0.0,2,0.0,-1,18,0,2.2629923277479485,0.6093368827317172,1.6072542491044446,2.388888888888889,delay_2
SNN,1004,0.0,2,0.0,-1,18,0,2.7268524280022794,0.6700130905347359,1.56322931189216,2.111111111111111,delay_2
SNN,1005,0.0,2,0.0,-1,31,0,4.5548586701930915,0.46670591456761795,1.5828097147475502,2.2580645161290325,delay_2
SNN,1006,0.0,2,0.0,-1,22,0,2.936942083305261,0.5764478142910587,1.6061807660573892,2.409090909090909,delay_2
SNN,1007,0.0,2,0.0,-1,24,0,3.3582241559123296,0.5553347692051235,1.6311208354931372,2.4583333333333335,delay_2
SNN,1008,0.0,2,0.0,-1,32,0,4.684535743220434,0.48754860422800733,1.583003077320367,2.03125,delay_2
SNN,1009,0.0,2,0.0,-1,21,0,3.3124060482950655,0.6148966267574588,1.6051290902753972,2.0,delay_2
SNN,1010,0.0,2,0.0,-1,13,0,2.07198878047287,0.8104187848334855,1.60819490227757,3.1538461538461537,delay_2
SNN,1011,0.0,2,0.0,-1,20,0,2.8150713464421693,0.6044858097537523,1.6081243483299743,2.55,delay_2
ANN,1000,0.0,4,0.0,-1,13,0,1.892551868403182,0.8017679566025268,1.5874493760033164,1.2561400807820833,delay_4
ANN,1001,0.0,4,0.0,-1,14,0,2.084192898457937,0.8488552100701529,1.7095513132461708,1.2671843085970198,delay_4
ANN,1002,0.0,4,0.0,-1,13,0,1.7710472909255066,0.8061143288093616,1.5958497889980607,1.2340592925365155,delay_4
ANN,1003,0.0,4,0.0,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,1.2083680629730225,delay_4
ANN,1004,0.0,4,0.0,-1,13,0,1.806870870698499,0.8013124748314717,1.5865911075697108,1.2539076850964472,delay_4
ANN,1005,0.0,4,0.0,-1,13,0,1.929922675256363,0.806248994119502,1.5968101989364476,1.2339430405543401,delay_4
ANN,1006,0.0,4,0.0,-1,13,0,2.044721184745943,0.8083617315845063,1.6035742340537764,1.1696601601747365,delay_4
ANN,1007,0.0,4,0.0,-1,13,0,1.9882231489484063,0.803419233959864,1.5920539567981518,1.2228633944804852,delay_4
ANN,1008,0.0,4,0.0,-1,13,0,1.9504749368070715,0.8073173529823003,1.5988511827965675,1.2247552596605742,delay_4
ANN,1009,0.0,4,0.0,-1,13,0,2.0441489169546845,0.7998908842291048,1.5858384724917443,1.203064657174624,delay_4
ANN,1010,0.0,4,0.0,-1,13,0,2.07198878047287,0.8104187848334855,1.60819490227757,1.140293809083792,delay_4
ANN,1011,0.0,4,0.0,-1,13,0,1.9297276915512458,0.7993716133539229,1.5830171950464849,1.257499323441432,delay_4
SNN,1000,0.0,4,0.0,-1,13,0,1.892551868403182,0.8017679566025268,1.5874493760033164,2.076923076923077,delay_4
SNN,1001,0.0,4,0.0,-1,21,0,3.3191341373695327,0.7042792423740861,1.6868356615419349,1.7142857142857142,delay_4
SNN,1002,0.0,4,0.0,-1,36,0,5.44844648411993,0.35863314476923036,1.5792355002334302,1.3888888888888888,delay_4
SNN,1003,0.0,4,0.0,-1,32,0,4.443303065658751,0.36870375257444066,1.592613220158618,1.5,delay_4
SNN,1004,0.0,4,0.0,-1,30,0,4.388822358837934,0.4164279172317619,1.66475913903261,1.5666666666666667,delay_4
SNN,1005,0.0,4,0.0,-1,14,0,2.201525879857755,0.7804468742748835,1.5654661999087314,2.0,delay_4
SNN,1006,0.0,4,0.0,-1,21,0,3.5112833395122505,0.7041085533448121,1.6454289497968302,1.9047619047619047,delay_4
SNN,1007,0.0,4,0.0,-1,17,0,2.6202017945284313,0.6443637246241094,1.5644494639951647,1.8823529411764706,delay_4
SNN,1008,0.0,4,0.0,-1,13,0,2.015917392412155,0.8049058450990193,1.579204513008295,2.3846153846153846,delay_4
SNN,1009,0.0,4,0.0,-1,18,0,2.9446322469331196,0.7405741959017754,1.642131332186315,1.6666666666666667,delay_4
SNN,1010,0.0,4,0.0,-1,18,0,2.9706133429948176,0.7634905974584055,1.685460288996858,1.9444444444444444,delay_4
